Kraj,Country_Code,Year,Competition Policy,Governance and enterprise restructuring,Large scale privatisation,Price liberalisation,Small scale privatisation,Trade & Forex system,SDR_Malignant_Neoplasms,SDR_Malignant_Neoplasms_Male,SDR_Malignant_Neoplasms_Female,SDR_External_Causes,SDR_External_Causes_Male,SDR_External_Causes_Female,SDR_Alcohol_Related,SDR_Alcohol_Related_Male,SDR_Alcohol_Related_Female,SDR_Suicide,SDR_Suicide_Male,SDR_Suicide_Female,SDR_Ischaemic_Heart,SDR_Ischaemic_Heart_Male,SDR_Ischaemic_Heart_Female,SDR_Circulatory_System,SDR_Circulatory_System_Male,SDR_Circulatory_System_Female,Life_Expectancy,Life_Expectancy_Male,Life_Expectancy_Female,Civil_Society_Participation,Health_Equality,GDP_Per_Capita,Alcohol_Consumption,War,Gov_Expenditure,Employment_Rate,Public_Health_Expenditure,Private_Sector_Share_GDP,Inflation,Unemployment_Rate
Ukraina,UKR,2013,2.3,2.3,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.547,1.57,10404,8.8,0,18.8979527234302,70.6,,,,
Ukraina,UKR,2014,2.3,2.3,3.0,4.0,4.0,4.0,152.99,221.25,111.75,85.42,149.35,30.74,,,,16.56,29.96,5.59,457.15,613.66,359.37,673.67,888.55,534.55,71.44,66.28,76.46,0.782,1.438,9818,7.6,1,18.6657760497569,64.8,,,,
Węgry,HUN,1989,1.0,1.0,1.0,2.7,1.0,2.0,259.62,356.13,191.9,115.41,165.67,70.13,220.75,336.59,120.07,39.96,62.67,20.4,234.78,326.81,166.64,624.52,785.71,506.27,69.66,65.5,73.98,0.513,1.235,11003,14.1,0,,83.0,5.2,,18.1,
Węgry,HUN,1990,1.0,1.0,2.0,4.0,1.0,3.0,266.68,369.47,194.36,121.05,176.95,71.4,229.89,354.25,122.57,38.13,61.31,18.74,239.66,332.21,171.11,643.93,806.34,524.48,69.45,65.21,73.87,0.793,1.982,10296,13.9,0,,82.9,6.1,25.0,33.4,
Węgry,HUN,1991,2.0,2.0,2.0,4.3,1.0,4.0,270.2,376.31,195.49,117.15,170.83,68.89,230.89,356.26,122.24,36.73,58.67,17.97,243.48,338.39,173.21,635.51,801.44,514.43,69.5,65.15,74.04,0.792,1.982,9256,13.3,0,24.8379533180649,79.6,6.3,30.0,35.0,7.4
Węgry,HUN,1992,2.0,3.0,2.0,4.3,2.0,4.0,277.04,386.15,200.51,118.24,174.9,68.36,246.59,386.04,126.88,36.83,59.93,17.2,247.79,346.44,175.61,635.18,803.97,510.96,69.17,64.66,73.95,0.792,1.982,9154,13.0,0,25.6670327987146,71.1,6.8,40.0,23.0,12.3
Węgry,HUN,1993,2.0,3.0,3.0,4.3,3.0,4.0,275.48,381.28,201.13,110.87,165.31,63.48,247.41,390.49,125.68,33.96,55.53,15.75,257.79,359.86,183.53,640.48,816.39,512.32,69.17,64.63,73.97,0.792,1.982,9294,13.1,0,27.6366628899357,63.9,6.7,50.0,22.5,12.1
Węgry,HUN,1994,3.0,3.0,3.0,4.3,3.7,4.3,276.78,385.93,200.34,106.31,160.06,59.4,245.18,390.91,120.65,33.19,55.56,14.41,246.61,340.51,178.86,604.71,768.44,486.2,69.64,65.02,74.5,0.792,1.982,9772,12.9,0,25.3907577917523,58.4,7.2,55.0,18.8,10.4
Węgry,HUN,1995,3.0,3.0,4.0,4.3,3.7,4.3,276.19,386.16,200.56,100.88,149.56,57.98,237.26,376.79,117.96,30.47,50.1,14.1,248.74,344.61,179.39,591.98,752.46,475.57,70.05,65.48,74.83,0.792,1.982,10135,12.2,0,22.7949765557116,57.2,6.3,60.0,28.2,10.4
Węgry,HUN,1996,3.0,3.0,4.0,4.3,4.0,4.3,277.98,391.13,199.99,94.91,141.37,54.44,176.86,280.7,89.31,30.94,50.8,14.09,250.6,337.35,187.18,587.36,738.34,476.97,70.65,66.32,75.07,0.792,1.982,10359,12.5,0,21.5524505456692,56.6,5.9,70.0,23.6,10.5
Węgry,HUN,1997,3.0,3.0,4.0,4.3,4.3,4.3,277.15,391.11,199.08,90.08,135.36,50.94,172.94,275.7,86.97,28.76,48.2,12.67,244.81,332.1,182.36,561.61,711.92,453.39,71.06,66.68,75.53,0.792,1.982,10942,12.3,0,21.2097985664491,56.5,5.7,75.0,18.3,10.4
Węgry,HUN,1998,3.0,3.3,4.0,4.3,4.3,4.3,275.87,390.02,197.79,90.34,139.12,47.99,175.91,282.82,85.72,29.3,49.4,12.15,247.06,333.5,184.98,565.68,721.38,453.97,70.97,66.45,75.6,0.792,1.982,11663,12.2,0,20.8824814204097,57.4,5.5,80.0,14.3,9.1
Węgry,HUN,1999,3.0,3.3,4.0,4.3,4.3,4.3,284.54,401.79,205.17,92.29,141.01,50.34,179.99,289.3,88.76,30.58,52.36,12.45,254.08,342.95,190.94,588.38,744.54,477.02,70.75,66.37,75.23,0.792,1.982,12317,12.2,0,21.2197129970005,59.2,5.3,80.0,10.0,7.0
Węgry,HUN,2000,3.0,3.3,4.0,4.3,4.3,4.3,278.74,394.15,201.18,84.87,128.0,47.44,164.72,262.89,82.67,29.92,50.4,12.61,238.4,318.33,181.5,548.25,696.96,443.14,71.49,67.2,75.82,0.792,1.982,13129,12.0,0,21.1714871886978,59.8,5.1,80.0,9.8,6.4
Węgry,HUN,2001,3.0,3.3,4.0,4.3,4.3,4.3,265.59,374.4,191.67,80.62,122.94,44.25,151.77,241.08,77.22,26.57,45.55,10.77,225.46,298.56,173.28,503.83,635.21,409.34,72.56,68.32,76.75,0.792,1.982,13934,13.2,0,21.0636287555601,60.1,5.1,80.0,9.2,5.7
Węgry,HUN,2002,3.0,3.3,4.0,4.3,4.3,4.3,262.26,370.62,188.47,81.52,122.38,46.05,149.41,238.26,75.4,25.39,43.73,10.13,221.7,292.67,171.28,503.89,638.57,408.12,72.64,68.39,76.84,0.792,1.982,14899,13.3,0,21.855542036297,60.4,,80.0,5.3,5.8
Węgry,HUN,2003,3.0,3.3,4.0,4.3,4.3,4.3,263.81,370.77,191.38,79.94,121.21,44.41,149.48,236.29,76.89,24.8,42.78,9.74,232.66,309.15,178.48,508.29,647.5,409.53,72.59,68.39,76.74,0.792,1.982,15830,13.2,0,23.0395033323141,61.4,,80.0,4.7,5.9
Węgry,HUN,2004,3.3,3.3,4.0,4.3,4.3,4.3,260.77,367.13,187.8,76.79,117.53,41.77,143.43,229.07,72.17,24.34,41.37,10.14,233.57,309.18,180.33,486.95,618.52,393.64,73.03,68.77,77.22,0.792,1.982,16999,13.2,0,22.0441935715458,61.2,,80.0,6.8,
Węgry,HUN,2005,3.3,3.7,4.0,4.3,4.3,4.3,237.44,330.82,172.68,67.89,107.92,34.13,129.42,211.21,61.84,23.18,39.98,9.2,261.33,347.19,201.45,502.43,643.87,401.39,73.01,68.75,77.23,0.77,1.435,18141,13.0,0,22.1446969663743,61.3,,,,
Węgry,HUN,2006,3.3,3.7,4.0,4.3,4.3,4.3,239.89,337.06,172.92,64.93,103.45,31.74,125.64,205.07,59.2,21.77,36.46,9.39,240.71,318.96,185.19,460.24,590.71,366.41,73.57,69.25,77.83,0.77,1.402,19253,13.2,0,22.0122861042098,61.7,,,,
Węgry,HUN,2007,3.3,3.7,4.0,4.3,4.3,4.3,240.89,336.55,175.89,62.51,98.86,31.27,124.02,202.05,59.21,21.4,36.75,8.55,226.59,302.73,172.45,449.85,584.45,353.97,73.65,69.41,77.81,0.77,1.402,19764,12.6,0,20.7877161589285,61.8,,,,
Węgry,HUN,2008,3.3,3.7,4.0,4.3,4.3,4.3,241.73,337.14,176.54,60.85,97.18,30.38,118.24,193.96,56.05,21.53,37.15,8.59,216.95,288.67,166.4,428.58,553.88,339.28,74.23,70.02,78.31,0.77,1.402,20381,11.8,0,21.3871831168946,61.3,,,,
Węgry,HUN,2009,3.3,3.7,4.0,4.3,4.3,4.3,243.16,339.27,178.21,58.96,93.84,29.3,114.35,188.02,53.49,21.79,37.1,8.84,214.81,288.93,163.04,421.21,548.34,331.01,74.45,70.29,78.46,0.77,1.402,19461,11.5,0,22.0633713417813,60.0,,,,
Węgry,HUN,2010,3.7,3.7,4.0,4.3,4.3,4.3,238.86,333.13,174.89,57.35,90.23,29.18,108.75,177.75,51.36,21.7,37.42,8.47,215.05,281.82,167.35,418.73,534.72,334.59,74.78,70.77,78.62,0.706,1.402,20036,10.8,0,21.4452733386217,60.4,,,,
Węgry,HUN,2011,3.7,3.7,4.0,4.3,4.3,4.3,238.66,328.6,177.81,54.01,84.74,28.3,100.4,163.37,48.69,21.24,35.76,8.74,207.49,275.22,159.07,402.07,516.22,319.3,75.15,71.28,78.82,0.679,1.402,20886,11.4,0,20.6306576272386,60.6,,,,
Węgry,HUN,2012,3.7,3.7,4.0,4.3,4.3,4.3,238.68,327.72,178.2,52.17,82.0,27.0,92.89,151.68,44.31,20.24,34.48,8.19,205.76,270.01,160.59,400.94,509.37,323.42,75.33,71.65,78.81,0.679,1.402,20631,11.1,0,20.0094207331442,62.4,,,,
Węgry,HUN,2013,3.3,3.7,4.0,4.0,4.3,4.0,232.62,315.88,176.38,48.41,75.31,25.74,85.81,140.61,41.01,17.92,30.0,7.69,197.27,262.04,152.16,387.05,494.12,310.69,75.81,72.2,79.2,0.599,1.085,21126,10.6,0,19.7285704568356,64.1,,,,
Węgry,HUN,2014,3.3,3.7,4.0,4.0,4.3,4.0,229.86,309.7,175.66,46.07,73.94,23.19,83.77,138.78,39.03,16.51,27.85,6.88,194.24,256.76,150.3,380.5,486.86,304.08,76.02,72.36,79.46,0.568,1.085,22040,10.9,0,19.9810520498971,68.4,,,,
Łotwa,LVA,1989,1.0,1.0,1.0,1.0,1.0,1.0,198.49,294.78,143.93,129.16,210.65,59.74,,,,25.51,40.79,13.48,370.54,516.07,283.34,651.87,840.36,538.7,70.51,65.41,75.22,,,15661,7.5,0,,-,,,,
Łotwa,LVA,1990,1.0,1.0,1.0,1.0,1.0,1.0,194.23,287.95,142.11,138.32,230.81,59.5,,,,25.76,45.87,9.54,390.93,552.63,294.1,673.17,885.25,544.98,69.58,64.26,74.64,0.565,1.632,15806,6.7,0,,-,2.5,10.0,,
Łotwa,LVA,1991,1.0,1.0,1.0,2.7,1.0,1.0,198.16,303.29,139.01,156.37,264.41,64.46,173.92,295.78,72.72,28.11,48.77,11.38,375.96,525.31,284.91,652.94,853.29,530.07,69.18,63.66,74.53,0.702,1.632,13775,6.7,0,,-,2.6,,172.0,0.6
Łotwa,LVA,1992,2.0,2.0,2.0,4.0,2.0,2.0,197.39,301.24,137.87,168.46,285.22,68.63,185.18,313.86,77.09,34.86,60.64,13.5,386.36,567.53,276.15,663.42,893.95,521.36,68.59,62.74,74.41,0.694,1.632,9411,6.9,0,,-,2.8,,951.2,3.9
Łotwa,LVA,1993,2.0,2.0,2.0,4.3,3.0,3.0,193.89,291.5,138.31,211.16,359.4,85.72,236.83,402.27,99.24,42.17,75.16,15.34,430.15,644.74,298.87,743.67,1028.06,566.72,66.7,60.52,73.19,0.653,1.632,8439,8.0,0,,-,4.1,,109.2,5.8
Łotwa,LVA,1994,2.0,2.0,2.0,4.3,4.0,4.0,198.21,301.23,140.18,234.93,403.71,93.64,270.31,464.9,111.09,40.22,73.52,12.85,459.53,686.33,322.05,796.92,1116.16,599.46,65.62,59.21,72.59,0.676,1.632,8704,9.6,0,,-,4.1,40.0,35.9,6.5
Łotwa,LVA,1995,2.0,2.0,2.0,4.3,4.0,4.0,195.26,294.61,142.21,204.1,348.79,81.95,239.48,408.11,100.57,40.14,72.65,13.51,405.86,598.8,286.56,749.94,1039.17,569.99,66.44,60.22,73.01,0.715,1.632,8709,9.1,0,24.3091375509984,-,4.0,55.0,25.0,6.6
Łotwa,LVA,1996,2.0,3.0,3.0,4.3,4.0,4.0,195.27,293.26,138.73,154.17,259.87,64.16,183.89,311.94,78.14,36.41,66.06,12.44,344.75,520.87,241.76,652.14,903.43,502.16,68.8,63.01,74.53,0.716,1.632,8947,8.4,0,22.6105142061952,64.1,4.0,60.0,17.6,7.2
Łotwa,LVA,1997,2.3,2.7,3.0,4.3,4.0,4.0,192.94,285.38,142.26,154.6,256.99,68.53,180.65,303.43,79.9,34.89,63.11,12.0,338.05,498.52,243.98,629.32,846.44,496.01,69.44,63.91,74.82,0.716,1.843,9773,8.4,0,21.6150158493476,67.4,3.8,60.0,8.4,7.0
Łotwa,LVA,1998,2.3,2.7,3.0,4.3,4.0,4.0,196.72,286.37,146.7,158.46,267.07,65.56,188.15,316.49,81.52,33.47,60.42,11.2,357.47,508.65,265.41,638.95,848.02,508.07,69.11,63.55,74.61,0.716,1.843,10430,8.9,0,23.25351553711,67.5,3.3,65.0,4.7,13.8
Łotwa,LVA,1999,2.3,2.7,3.0,4.3,4.0,4.3,198.05,303.47,138.9,156.31,260.13,68.54,185.94,310.43,83.54,30.0,52.88,11.38,326.99,472.81,239.73,604.67,813.15,477.32,70.18,64.76,75.43,0.753,1.843,10708,8.8,0,23.185658931445,66.5,4.1,65.0,2.4,14.4
Łotwa,LVA,2000,2.3,2.7,3.0,4.3,4.3,4.3,192.93,290.32,139.81,153.03,262.88,62.28,180.46,310.79,75.12,30.85,57.16,9.9,323.32,471.42,235.39,599.25,813.54,470.16,70.51,64.84,76.03,0.753,1.843,11310,7.1,0,21.4196678660864,64.9,3.5,65.0,2.6,14.4
Łotwa,LVA,2001,2.3,2.7,3.0,4.3,4.3,4.3,199.98,305.95,142.41,151.9,256.81,63.49,183.94,309.19,80.83,28.84,52.63,9.13,313.53,462.55,223.19,621.41,838.62,486.84,69.95,64.29,75.52,0.753,1.843,12104,6.7,0,20.9705592163701,66.9,3.4,65.0,2.5,12.9
Łotwa,LVA,2002,2.3,2.7,3.3,4.3,4.3,4.3,196.01,295.53,140.19,151.83,253.73,66.26,176.05,296.39,77.89,27.67,48.75,10.25,301.88,448.61,212.76,613.11,837.81,473.69,70.25,64.51,75.9,0.753,1.843,13015,7.4,0,21.3131866017934,69.4,3.6,70.0,1.9,12.2
Łotwa,LVA,2003,2.7,3.0,3.7,4.3,4.3,4.3,196.82,297.31,141.82,138.65,230.71,63.78,162.88,273.38,75.16,24.52,44.93,8.35,298.59,431.32,217.68,607.48,819.73,476.17,70.73,65.43,75.79,0.753,1.843,14142,8.2,0,22.0849455815967,70.9,,70.0,3.0,10.6
Łotwa,LVA,2004,2.7,3.0,3.7,4.3,4.3,4.3,196.74,303.09,139.4,132.34,220.33,59.35,156.92,263.73,70.98,22.87,42.51,7.04,299.55,451.63,211.21,593.9,821.34,454.95,70.98,65.63,76.09,0.803,1.998,15371,8.8,0,20.6903575535647,72.0,,70.0,6.2,
Łotwa,LVA,2005,3.0,3.0,3.7,4.3,4.3,4.3,197.94,305.85,139.24,134.79,229.95,55.13,161.51,273.06,70.35,23.18,41.39,7.66,295.46,450.04,204.13,596.15,836.37,445.74,70.72,65.0,76.38,0.77,1.998,17070,9.9,0,18.6297888598336,73.4,,,,
Łotwa,LVA,2006,3.0,3.0,3.7,4.3,4.3,4.3,204.02,308.04,148.22,135.37,234.3,53.76,163.93,279.67,70.51,19.94,38.04,5.23,287.03,425.26,200.49,579.67,807.59,431.79,70.6,64.96,76.19,0.77,1.998,19129,10.4,0,18.1781962805696,77.6,,,,
Łotwa,LVA,2007,3.0,3.0,3.7,4.3,4.3,4.3,197.54,299.15,142.49,118.71,203.07,48.29,151.9,256.93,66.55,18.52,34.0,6.35,305.98,454.57,215.65,580.27,807.26,432.1,70.85,65.32,76.29,0.77,1.998,21042,12.1,0,18.600884165274,75.9,,,,
Łotwa,LVA,2008,3.0,3.0,3.7,4.3,4.3,4.3,196.23,303.91,137.86,102.75,176.89,41.13,133.58,227.99,57.7,21.79,40.17,6.71,269.95,411.38,187.6,518.64,742.25,381.44,72.13,66.5,77.57,0.797,1.998,20342,11.8,0,20.7010687057421,76.7,,,,
Łotwa,LVA,2009,3.3,3.0,3.7,4.3,4.3,4.3,198.8,297.88,146.91,91.34,158.26,35.78,121.74,209.31,51.57,21.92,39.98,7.03,261.65,393.17,181.76,493.45,700.1,362.6,72.81,67.52,77.76,0.806,1.998,17582,9.9,0,19.5738971708732,67.8,,,,
Łotwa,LVA,2010,3.3,3.0,3.7,4.3,4.3,4.3,199.97,300.35,147.6,90.42,159.32,33.78,121.19,214.4,47.37,18.81,36.54,4.21,256.52,391.62,178.61,492.92,704.38,362.3,73.16,67.93,78.03,0.816,1.998,17140,9.8,0,18.7899697736523,65.4,,,,
Łotwa,LVA,2011,3.7,3.0,3.7,4.3,4.3,4.3,194.3,293.95,140.89,79.19,138.58,30.26,110.0,192.45,44.33,18.73,35.72,5.05,246.33,374.7,172.3,466.18,664.36,344.37,73.92,68.64,78.8,0.806,1.998,18428,10.1,0,19.2557040077919,68.1,,,,
Łotwa,LVA,2012,3.7,3.3,3.7,4.3,4.3,4.3,194.52,297.9,139.65,81.98,141.04,32.51,110.7,191.39,46.06,19.45,36.58,5.02,243.01,354.74,174.34,470.47,654.93,353.43,74.13,68.92,78.95,0.806,1.998,19405,10.2,0,17.988056098072,70.6,,,,
Łotwa,LVA,2013,3.7,3.3,3.7,4.3,4.3,4.3,192.48,292.02,138.07,77.89,131.79,33.9,107.48,182.62,48.39,16.97,31.82,4.61,231.81,336.82,167.33,462.4,627.81,352.63,74.42,69.4,79.04,0.838,1.79,20129,10.4,0,18.2811109375838,73.5,,,,
Łotwa,LVA,2014,3.7,3.3,3.7,4.3,4.3,4.3,191.74,293.86,136.41,81.82,142.91,30.41,110.93,193.05,44.41,17.19,31.41,5.3,222.22,325.63,158.49,447.47,616.01,338.01,74.77,69.47,79.71,0.84,1.911,20751,10.6,0,18.4883353835292,74.2,,,,
